编号,题目,作者,年份,期刊/会议,DOI,是否可下载 PDF,数据库来源,文献类别（A/B/C/D/E）,研究对象,主要方法,是否涉及 non-planar,是否涉及 sensing / metrology,是否涉及 process-to-geometry modeling,是否涉及 inverse mapping / control,该文献在本项目论证中的作用,与本项目的关系（支持/对比/区别/可作为基线）,期刊,卷,期,页码
C001,Supportless 3D-printing of non-planar thin-walled structures with the multi-axis screw-extrusion additive manufacturing system,Xiping Li; Wei Liu; Zhonglue Hu; Chang He; Jietai Ding; Wei Chen,2024,Materials &amp; Design,10.1016/j.matdes.2024.112860,否,OpenAlex,A;B,material extrusion AM,待补充（题录级）,是,否,否,否,支撑“non-planar参数研究多为经验调参”,支持,Materials &amp; Design,240,,112860
C002,Non-planar additive manufacturing with hydrogels: a review of flow control and toolpath strategies,Paul C. W. M. van der Valk; Mohammad J. Mirzaali,2025,npj Soft Matter,10.1038/s44431-025-00006-5,是,OpenAlex,A,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“non-planar工作以路径/可达性为主”,支持,npj Soft Matter,1,1,
C003,Contact-Force-Based Closed-Loop Control of Multi-Axis Additive Manufacturing With Continuous-Fiber-Reinforced Polymer,Yuexin Yang; Yi Zhou; Molong Duan,2025,"Volume 1: Smart Additive Manufacturing; Multi-Material Processing in AM; Advances in Metal AM Processes; In Situ Monitoring, Non-Destructive Evaluation, and Qualification for AM; Advances in Manufacturing and Processing of Polymers and Composites; Laser-Based Advanced Manufacturing and Material Processing; Smart, Innovative, and Low-Cost Tooling Systems for Advanced Materials Manufacturing; Bio-Manufacturing of Engineered Living Materials",10.1115/msec2025-155609,否,OpenAlex,A;B;C,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“planar已发展出感知-建模-控制范式”,对比/桥接,"Volume 1: Smart Additive Manufacturing; Multi-Material Processing in AM; Advances in Metal AM Processes; In Situ Monitoring, Non-Destructive Evaluation, and Qualification for AM; Advances in Manufacturing and Processing of Polymers and Composites; Laser-Based Advanced Manufacturing and Material Processing; Smart, Innovative, and Low-Cost Tooling Systems for Advanced Materials Manufacturing; Bio-Manufacturing of Engineered Living Materials",,,
C004,"Machine learning techniques in additive manufacturing: a state of the art review on design, processes and production control",Sachin Kumar; T. Gopi; N. Harikeerthana; Munish Kumar Gupta; Vidit Gaur; Grzegorz Królczyk,2022,Journal of Intelligent Manufacturing,10.1007/s10845-022-02029-5,是,OpenAlex,A;B;C;D;E,material extrusion AM,待补充（题录级）,否,否,否,是,支撑“高通量+自动测量数据基础设施”,对比/桥接,Journal of Intelligent Manufacturing,34,1,21-55
C005,Extrusion under material uncertainty with pressure-based closed-loop feedback control in robotic concrete additive manufacturing,Mahsa Rabiei; Reza Moini,2025,Automation in Construction,10.1016/j.autcon.2025.106494,否,OpenAlex,A;B;C,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“planar已发展出感知-建模-控制范式”,对比/桥接,Automation in Construction,180,,106494
C006,Invertible neural networks for real-time control of extrusion additive manufacturing,Devin J. Roach; Andrew Rohskopf; Samuel Leguizamon; Leah Appelhans; Adam Cook,2023,Additive Manufacturing,10.1016/j.addma.2023.103742,是,OpenAlex,B;C;D,material extrusion AM,待补充（题录级）,否,否,否,是,支撑“逆向/物理融合/双向建模可行”,支持,Additive Manufacturing,74,,103742
C007,Force controlled printing for material extrusion additive manufacturing,Xavier Guidetti; Nathan Mingard; Raul Cruz-Oliver; Yannick Nagel; Marvin Rueppel; Alisa Rupenyan,2024,Additive Manufacturing,10.1016/j.addma.2024.104297,否,OpenAlex,B;C,material extrusion AM,待补充（题录级）,否,否,否,是,支撑“planar已发展出感知-建模-控制范式”,支持,Additive Manufacturing,89,,104297
C008,Optical Process Control for extrusion-based Additive Manufacturing methods in construction,Rafay Mohiuddin; Miranda Cruz Policroniades; Martin Slepicka; André Borrmann,2023,Proceedings of the International Symposium on Automation and Robotics in Construction (IAARC),10.22260/isarc2023/0015,否,OpenAlex,B;C,material extrusion AM,待补充（题录级）,否,否,否,是,支撑“planar已发展出感知-建模-控制范式”,支持,Proceedings of the International Symposium on Automation and Robotics in Construction (IAARC),,,
C009,Mitigating domain shift in online process monitoring for material extrusion additive manufacturing via transfer learning,Huaqing Zhang; Zhibin Zhao; Chenxi Wang; Xingwu Zhang; Xuefeng Chen,2024,Additive Manufacturing,10.1016/j.addma.2024.104467,否,OpenAlex,B;C;D,material extrusion AM,待补充（题录级）,否,是,否,否,支撑“逆向/物理融合/双向建模可行”,支持,Additive Manufacturing,94,,104467
C010,Determination of Design Limitations of Curved Profiles Manufactured by Robotics Non-Planar Additive Manufacturing,Pavol Štefčák; Ivan Gajdoš; Ján Slota; Jozef Varga; Zuzana Kimáková; Marek Vrabeľ,2024,Advances in Science and Technology Research Journal,10.12913/22998624/185960,否,OpenAlex,A,material extrusion AM,待补充（题录级）,是,否,否,否,支撑“non-planar工作以路径/可达性为主”,支持,Advances in Science and Technology Research Journal,18,3,92-98
C011,Stress flow guided non-planar print trajectory optimization for additive manufacturing of anisotropic polymers,Xavier Guidetti; Efe C. Balta; Yannick Nagel; Hang Yin; Alisa Rupenyan; John Lygeros,2023,Additive Manufacturing,10.1016/j.addma.2023.103628,否,OpenAlex,A;B;D,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“逆向/物理融合/双向建模可行”,对比/桥接,Additive Manufacturing,72,,103628
C012,Non-planar material-extrusion additive manufacturing of multifunctional sandwich structures using carbon-reinforced polyetheretherketone (PEEK),Juliette Pierre; Mathieu Verville; Gabriel Chenier; Rouhollah D. Farahani; Nicola Piccirelli; Martin Lévesque,2024,Additive Manufacturing,10.1016/j.addma.2024.104124,否,OpenAlex,A;B,material extrusion AM,待补充（题录级）,是,否,否,否,支撑“non-planar参数研究多为经验调参”,支持,Additive Manufacturing,84,,104124
C013,NON-PLANAR TOOLPATH FOR LARGE SCALE ADDITIVE MANUFACTURING,Ömer Eyerci̇oğlu; Mehmet Aladağ,2021,International Journal of 3D Printing Technologies and Digital Industry,10.46519/ij3dptdi.956313,是,OpenAlex,A,material extrusion AM,待补充（题录级）,是,否,否,否,支撑“non-planar工作以路径/可达性为主”,支持,International Journal of 3D Printing Technologies and Digital Industry,5,3,477-487
C014,Stress Flow Guided Non-Planar Print Trajectory Optimization for Additive Manufacturing of Anisotropic Polymers,Xavier Guidetti; Efe C. Balta; Yannick Nagel; Hang Yin; Alisa Rupenyan; John Lygeros,2023,SSRN Electronic Journal,10.2139/ssrn.4341502,否,OpenAlex,A;B;D,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“逆向/物理融合/双向建模可行”,对比/桥接,,,,
C015,Self-support structure topology optimization for multi-axis additive manufacturing incorporated with curved layer slicing,Shuzhi Xu; Jikai Liu; Dong He; Kai Tang; Kentaro Yaji,2025,Computer Methods in Applied Mechanics and Engineering,10.1016/j.cma.2025.117841,否,OpenAlex,A;D,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“逆向/物理融合/双向建模可行”,对比/桥接,Computer Methods in Applied Mechanics and Engineering,438,,117841
C016,Aerial additive manufacturing with multiple autonomous robots,Ketao Zhang; Pisak Chermprayong; Feng Xiao; Dimos Tzoumanikas; Barrie Dams; Sebastian Kay,2022,Nature,10.1038/s41586-022-04988-4,否,OpenAlex,A;B;C;D;E,material extrusion AM,待补充（题录级）,否,否,否,否,支撑“高通量+自动测量数据基础设施”,对比/桥接,Nature,609,7928,709-717
C017,"Concrete 3D Printing: Process Parameters for Process Control, Monitoring and Diagnosis in Automation and Construction",Tan Kai Noel Quah; Yi Wei Daniel Tay; Jian Hui Lim; Ming Jen Tan; Teck Neng Wong; King Ho Holden Li,2023,Mathematics,10.3390/math11061499,否,OpenAlex,B;C;E,material extrusion AM,待补充（题录级）,否,是,否,是,支撑“高通量+自动测量数据基础设施”,支持,Mathematics,11,6,1499
C018,Vision-based real-time monitoring of extrusion additive manufacturing processes for automatic manufacturing error detection,Paschalis Charalampous; Ioannis Kostavelis; Charalampos Kopsacheilis; Dimitrios Tzovaras,2021,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-021-07419-2,否,OpenAlex,B;C,material extrusion AM,待补充（题录级）,否,是,否,否,支撑“planar已发展出感知-建模-控制范式”,支持,The International Journal of Advanced Manufacturing Technology,115,11-12,3859-3872
C019,Real-time process monitoring and error correction in material extrusion-based additive manufacturing via multi-output machine learning,Tsan-Hung Fu; Dian-Ru Li,2025,Journal of Manufacturing Processes,10.1016/j.jmapro.2025.08.025,否,OpenAlex,B;C,material extrusion AM,待补充（题录级）,否,是,否,否,支撑“planar已发展出感知-建模-控制范式”,支持,Journal of Manufacturing Processes,152,,638-656
C020,Strand width uniformly control for silicone extrusion additive manufacturing based on image processing,Xiaoqing Tian; Yaling Li; Dingyifei Ma; Jiang Han; Lian Xia,2022,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-021-08370-y,否,OpenAlex,B;D,material extrusion AM,待补充（题录级）,否,否,否,是,支撑“逆向/物理融合/双向建模可行”,支持,The International Journal of Advanced Manufacturing Technology,119,5-6,3077-3090
C021,A layerwise monitoring methodology based on blue laser line profilometer for Material Extrusion processes,Marco Lafirenza; Maria Grazia Guerra; Fulvio Lavecchia,2023,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-023-11864-6,是,OpenAlex,B;C;E,material extrusion AM,待补充（题录级）,否,是,否,否,支撑“高通量+自动测量数据基础设施”,支持,The International Journal of Advanced Manufacturing Technology,127,11-12,5421-5436
C022,Characterization of Surface Topography Features for the Effect of Process Parameters and Their Correlation to Quality Monitoring in Metal Additive Manufacturing,Jinsun Lee; Md Shahjahan Hossain; Mohammad Mahdi Taheri; Awse Jameel; M. Lakshmipathy; Hossein Taheri,2022,Metrology,10.3390/metrology2010005,否,OpenAlex,B;C;E,material extrusion AM,待补充（题录级）,否,是,否,否,支撑“高通量+自动测量数据基础设施”,支持,Metrology,2,1,73-83
C023,"Non-planar additive manufacturing: A comprehensive review of path planning, system integration, process control, and applications",Zeqi Hu; Yan-Chao She; Lin Hua; Kang Dong; Mingzhang Chen; Yitong Wang,2025,Additive Manufacturing,10.1016/j.addma.2025.105059,否,OpenAlex,A,material extrusion AM,待补充（题录级）,是,否,否,是,支撑“non-planar工作以路径/可达性为主”,支持,Additive Manufacturing,115,,105059
C024,Development of a print head for non-planar additive manufacturing of carbon fiber-reinforced polymers,Johann Kipping; Thore Kleibrink; Thorsten Schüppstuhl,2025,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-025-16079-5,是,OpenAlex,A;B,material extrusion AM,待补充（题录级）,是,否,否,否,支撑“non-planar参数研究多为经验调参”,支持,The International Journal of Advanced Manufacturing Technology,139,11-12,5697-5714
