文献ID,题目,作者,年份,期刊/会议,DOI,类别分组用途,可下载PDF,入选原因
C001,Supportless 3D-printing of non-planar thin-walled structures with the multi-axis screw-extrusion additive manufacturing system,Xiping Li; Wei Liu; Zhonglue Hu; Chang He; Jietai Ding; Wei Chen,2024,Materials & Design,10.1016/j.matdes.2024.112860,non-planar path-dominated prior art,否,支撑“non-planar参数研究多为经验调参”
C002,Non-planar additive manufacturing with hydrogels: a review of flow control and toolpath strategies,Paul C. W. M. van der Valk; Mohammad J. Mirzaali,2025,npj Soft Matter,10.1038/s44431-025-00006-5,non-planar path-dominated prior art,是,支撑“non-planar工作以路径/可达性为主”
C003,Contact-Force-Based Closed-Loop Control of Multi-Axis Additive Manufacturing With Continuous-Fiber-Reinforced Polymer,Yuexin Yang; Yi Zhou; Molong Duan,2025,待核验,10.1115/msec2025-155609,non-planar path-dominated prior art,否,支撑“planar已发展出感知-建模-控制范式”
C004,"Machine learning techniques in additive manufacturing: a state of the art review on design, processes and production control",Sachin Kumar; T. Gopi; N. Harikeerthana; Munish Kumar Gupta; Vidit Gaur; Grzegorz Królczyk,2022,Journal of Intelligent Manufacturing,10.1007/s10845-022-02029-5,non-planar path-dominated prior art,是,支撑“高通量+自动测量数据基础设施”
C005,Extrusion under material uncertainty with pressure-based closed-loop feedback control in robotic concrete additive manufacturing,Mahsa Rabiei; Reza Moini,2025,Automation in Construction,10.1016/j.autcon.2025.106494,non-planar path-dominated prior art,否,支撑“planar已发展出感知-建模-控制范式”
C006,Invertible neural networks for real-time control of extrusion additive manufacturing,Devin J. Roach; Andrew Rohskopf; Samuel Leguizamon; Leah Appelhans; Adam Cook,2023,Additive manufacturing,10.1016/j.addma.2023.103742,empirical non-planar parameter studies,是,支撑“逆向/物理融合/双向建模可行”
C007,Force controlled printing for material extrusion additive manufacturing,Xavier Guidetti; Nathan Mingard; Raul Cruz-Oliver; Yannick Nagel; Marvin Rueppel; Alisa Rupenyan,2024,Additive manufacturing,10.1016/j.addma.2024.104297,empirical non-planar parameter studies,否,支撑“planar已发展出感知-建模-控制范式”
C008,Optical Process Control for extrusion-based Additive Manufacturing methods in construction,Rafay Mohiuddin; Miranda Cruz Policroniades; Martin Slepicka; André Borrmann,2023,Proceedings of the ... ISARC,10.22260/isarc2023/0015,empirical non-planar parameter studies,否,支撑“planar已发展出感知-建模-控制范式”
C009,Mitigating domain shift in online process monitoring for material extrusion additive manufacturing via transfer learning,Huaqing Zhang; Zhibin Zhao; Chenxi Wang; Xingwu Zhang; Xuefeng Chen,2024,Additive manufacturing,10.1016/j.addma.2024.104467,empirical non-planar parameter studies,否,支撑“逆向/物理融合/双向建模可行”
C016,Aerial additive manufacturing with multiple autonomous robots,Ketao Zhang; Pisak Chermprayong; Feng Xiao; Dimos Tzoumanikas; Barrie Dams; Sebastian Kay,2022,Nature,10.1038/s41586-022-04988-4,non-planar path-dominated prior art,否,支撑“高通量+自动测量数据基础设施”
C017,"Concrete 3D Printing: Process Parameters for Process Control, Monitoring and Diagnosis in Automation and Construction",Tan Kai Noel Quah; Yi Wei Daniel Tay; Jian Hui Lim; Ming Jen Tan; Teck Neng Wong; King Ho Holden Li,2023,Mathematics,10.3390/math11061499,empirical non-planar parameter studies,否,支撑“高通量+自动测量数据基础设施”
C018,Vision-based real-time monitoring of extrusion additive manufacturing processes for automatic manufacturing error detection,Paschalis Charalampous; Ioannis Kostavelis; Charalampos Kopsacheilis; Dimitrios Tzovaras,2021,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-021-07419-2,empirical non-planar parameter studies,否,支撑“planar已发展出感知-建模-控制范式”
C019,Real-time process monitoring and error correction in material extrusion-based additive manufacturing via multi-output machine learning,Tsan-Hung Fu; Dian-Ru Li,2025,Journal of Manufacturing Processes,10.1016/j.jmapro.2025.08.025,empirical non-planar parameter studies,否,支撑“planar已发展出感知-建模-控制范式”
C021,A layerwise monitoring methodology based on blue laser line profilometer for Material Extrusion processes,Marco Lafirenza; Maria Grazia Guerra; Fulvio Lavecchia,2023,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-023-11864-6,empirical non-planar parameter studies,是,支撑“高通量+自动测量数据基础设施”
C011,Stress flow guided non-planar print trajectory optimization for additive manufacturing of anisotropic polymers,Xavier Guidetti; Efe C. Balta; Yannick Nagel; Hang Yin; Alisa Rupenyan; John Lygeros,2023,Additive manufacturing,10.1016/j.addma.2023.103628,non-planar path-dominated prior art,否,支撑“逆向/物理融合/双向建模可行”
C014,Stress Flow Guided Non-Planar Print Trajectory Optimization for Additive Manufacturing of Anisotropic Polymers,Xavier Guidetti; Efe C. Balta; Yannick Nagel; Hang Yin; Alisa Rupenyan; John Lygeros,2023,SSRN Electronic Journal,10.2139/ssrn.4341502,non-planar path-dominated prior art,否,支撑“逆向/物理融合/双向建模可行”
C015,Self-support structure topology optimization for multi-axis additive manufacturing incorporated with curved layer slicing,Shuzhi Xu; Jikai Liu; Dong He; Kai Tang; Kentaro Yaji,2025,Computer Methods in Applied Mechanics and Engineering,10.1016/j.cma.2025.117841,non-planar path-dominated prior art,否,支撑“逆向/物理融合/双向建模可行”
C020,Strand width uniformly control for silicone extrusion additive manufacturing based on image processing,Xiaoqing Tian; Yaling Li; Dingyifei Ma; Jiang Han; Lian Xia,2022,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-021-08370-y,empirical non-planar parameter studies,否,支撑“逆向/物理融合/双向建模可行”
C028,Additive manufacturing of structural materials,Liu Guo; Xiaofeng Zhang; Xuliang Chen; Yunhu He; Lizi Cheng; Mengke Huo,2021,Materials Science and Engineering R Reports,10.1016/j.mser.2020.100596,non-planar path-dominated prior art,否,支撑“逆向/物理融合/双向建模可行”
C022,Characterization of Surface Topography Features for the Effect of Process Parameters and Their Correlation to Quality Monitoring in Metal Additive Manufacturing,Jinsun Lee; Md Shahjahan Hossain; Mohammad Mahdi Taheri; Awse Jameel; M. Lakshmipathy; Hossein Taheri,2022,Metrology,10.3390/metrology2010005,empirical non-planar parameter studies,否,支撑“高通量+自动测量数据基础设施”
C027,Design for additive manufacturing: Framework and methodology,Tom Vaneker; Alain Bernard; Giovanni Moroni; Ian Gibson; Yicha Zhang,2020,CIRP Annals,10.1016/j.cirp.2020.05.006,non-planar path-dominated prior art,否,支撑“高通量+自动测量数据基础设施”
C029,Machine learning in additive manufacturing: State-of-the-art and perspectives,Chengcheng Wang; Xipeng Tan; Shu Beng Tor; C.S. Lim,2020,Additive manufacturing,10.1016/j.addma.2020.101538,non-planar path-dominated prior art,否,支撑“高通量+自动测量数据基础设施”
C034,Recent Advances in In Situ 3D Surface Topographical Monitoring for Additive Manufacturing Processes,Vignesh Suresh; Badrinath Balasubramaniam; Li-Hsin Yeh; Beiwen Li,2025,Journal of Manufacturing and Materials Processing,10.3390/jmmp9040133,planar sensing/monitoring/control,否,支撑“高通量+自动测量数据基础设施”
C043,In-process density measurement for model-based process optimization of functionally graded foam microcellular structures in material extrusion additive manufacturing,Donghua Zhao; Zhaowei Zhou; Kaicheng Ruan; Xuguang Xu; Guoquan Zhang; Ziwen Chen,2025,Additive manufacturing,10.1016/j.addma.2025.104817,empirical non-planar parameter studies,否,支撑“高通量+自动测量数据基础设施”
